03-09 09:28:09.791,skmsa.apiutil.interceptor.JournalAOP    ,                                    ,  ,INFO ,  restartedMain,[SKMSA JournalAOP  생성자] >>::Caller+0	 at skmsa.apiutil.interceptor.JournalAOP.<init>(JournalAOP.java:31)
  03-09 09:37:37.117,skmsa.apiutil.interceptor.JournalAOP    ,                                    ,  ,INFO ,  restartedMain,[SKMSA JournalAOP  생성자] >>::Caller+0	 at skmsa.apiutil.interceptor.JournalAOP.<init>(JournalAOP.java:31)
  03-09 09:52:24.446,skmsa.apiutil.interceptor.JournalAOP    ,                                    ,  ,INFO ,  restartedMain,[SKMSA JournalAOP  생성자] >>::Caller+0	 at skmsa.apiutil.interceptor.JournalAOP.<init>(JournalAOP.java:31)
  03-09 14:07:08.420,skmsa.apiutil.interceptor.JournalAOP    ,                                    ,  ,INFO ,  restartedMain,[SKMSA JournalAOP  생성자] >>::Caller+0	 at skmsa.apiutil.interceptor.JournalAOP.<init>(JournalAOP.java:31)
  03-09 15:07:05.969,skmsa.apiutil.interceptor.JournalAOP    ,                                    ,  ,INFO ,  restartedMain,[SKMSA JournalAOP  생성자] >>::Caller+0	 at skmsa.apiutil.interceptor.JournalAOP.<init>(JournalAOP.java:31)
  03-09 15:27:50.237,skmsa.apiutil.interceptor.JournalAOP    ,                                    ,  ,INFO ,  restartedMain,[SKMSA JournalAOP  생성자] >>::Caller+0	 at skmsa.apiutil.interceptor.JournalAOP.<init>(JournalAOP.java:31)
  03-09 15:29:07.795,skmsa.apiutil.interceptor.JournalAOP    ,c3e23e99-c892-43a2-8ebd-c340a67cd071, 1,INFO ,http-nio-8091-exec-5,|-->: sample.a.controller.SampleAController.registerLecture, args: LecturesPostInDTO(title=string, minEnrollment=5, maxEnrollment=10, lectureStatus=OPEN_REGISTER),org.springframework.validation.BeanPropertyBindingResult: 0 errors,  >>::	 at skmsa.apiutil.interceptor.JournalAOP.controllerAspect(JournalAOP.java:64)
03-09 15:29:08.830,skmsa.apiutil.interceptor.JournalAOP    ,c3e23e99-c892-43a2-8ebd-c340a67cd071, 2,INFO ,http-nio-8091-exec-5,|   |--> sample.a.service.impl.SampleAServiceImpl.registerLecture, args: SampleA(id=null, version=null, title=string, minEnrollment=5, maxEnrollment=10, lectureStatus=OPEN_REGISTER),  >>::ller+0	 at skmsa.apiutil.interceptor.JournalAOP.logAction(JournalAOP.java:151)
03-09 15:29:08.902,skmsa.apiutil.interceptor.JournalAOP    ,c3e23e99-c892-43a2-8ebd-c340a67cd071, 2,INFO ,http-nio-8091-exec-5,|   |<--, Exec: 72ms85, Result: SampleA(id=1, version=0, title=string, minEnrollment=5, maxEnrollment=10, lectureStatus=OPEN_REGISTER)  >>::ller+0	 at skmsa.apiutil.interceptor.JournalAOP.logAction(JournalAOP.java:157)
03-09 15:29:09.015,skmsa.apiutil.interceptor.JournalAOP    ,c3e23e99-c892-43a2-8ebd-c340a67cd071, 1,INFO ,http-nio-8091-exec-5,|<--: sample.a.controller.SampleAController.registerLecture, Exec: 1205ms, Result: <200 OK OK,LecturesPostOutDTO(id=1, version=0, title=string, minEnrollment=5, maxEnrollment=10, registerEndDt=null, lectureStatus=OPEN_REGISTER),[]>  >>::	 at skmsa.apiutil.interceptor.JournalAOP.controllerAspect(JournalAOP.java:73)
03-09 15:30:24.489,skmsa.apiutil.interceptor.JournalAOP    ,6bfde8cc-de77-4f86-9dd4-c96b986b0ed6, 1,INFO ,http-nio-8091-exec-9,|-->: sample.a.controller.SampleAController.getLeature, args: 0,  >>::	 at skmsa.apiutil.interceptor.JournalAOP.controllerAspect(JournalAOP.java:64)
03-09 15:30:24.498,skmsa.apiutil.interceptor.JournalAOP    ,6bfde8cc-de77-4f86-9dd4-c96b986b0ed6, 2,INFO ,http-nio-8091-exec-9,|   |--> sample.a.service.impl.SampleAServiceImpl.findOne, args: 0,  >>::ller+0	 at skmsa.apiutil.interceptor.JournalAOP.logAction(JournalAOP.java:151)
03-09 15:30:24.516,skmsa.apiutil.interceptor.JournalAOP    ,6bfde8cc-de77-4f86-9dd4-c96b986b0ed6, 2,INFO ,http-nio-8091-exec-9,|   |<--, Exec: 18ms18, Result: Optional.empty  >>::ller+0	 at skmsa.apiutil.interceptor.JournalAOP.logAction(JournalAOP.java:157)
03-09 15:30:24.519,skmsa.apiutil.interceptor.JournalAOP    ,6bfde8cc-de77-4f86-9dd4-c96b986b0ed6, 1,INFO ,http-nio-8091-exec-9,|<--: sample.a.controller.SampleAController.getLeature, Exec: 29ms, Result: <200 OK OK,[]>  >>::	 at skmsa.apiutil.interceptor.JournalAOP.controllerAspect(JournalAOP.java:73)
03-09 15:30:49.649,skmsa.apiutil.interceptor.JournalAOP    ,d7e42e7a-8a03-4c24-a007-35c75f120813, 1,INFO ,http-nio-8091-exec-1,|-->: sample.a.controller.SampleAController.getLeature, args: 0,  >>::	 at skmsa.apiutil.interceptor.JournalAOP.controllerAspect(JournalAOP.java:64)
