03-10 15:30:59.866,skmsa.apiutil.interceptor.JournalAOP    ,                                    ,  ,INFO ,  restartedMain,[SKMSA JournalAOP  생성자] >>::Caller+0	 at skmsa.apiutil.interceptor.JournalAOP.<init>(JournalAOP.java:31)
  03-10 15:32:24.719,skmsa.apiutil.interceptor.JournalAOP    ,                                    ,  ,INFO ,  restartedMain,[SKMSA JournalAOP  생성자] >>::Caller+0	 at skmsa.apiutil.interceptor.JournalAOP.<init>(JournalAOP.java:31)
  03-10 15:34:04.191,skmsa.apiutil.interceptor.JournalAOP    ,979ae9ec-9e29-4b98-be7d-9e6e79579531, 1,INFO ,http-nio-8091-exec-3,|-->: sample.a.controller.SampleAController.registerLecture, args: LecturesPostInDTO(title=강의01, minEnrollment=5, maxEnrollment=10, lectureStatus=OPEN_REGISTER),org.springframework.validation.BeanPropertyBindingResult: 0 errors,  >>::	 at skmsa.apiutil.interceptor.JournalAOP.controllerAspect(JournalAOP.java:64)
03-10 15:34:05.231,skmsa.apiutil.interceptor.JournalAOP    ,979ae9ec-9e29-4b98-be7d-9e6e79579531, 2,INFO ,http-nio-8091-exec-3,|   |--> sample.a.service.impl.SampleAServiceImpl.registerLecture, args: SampleA(id=null, version=null, title=강의01, minEnrollment=5, maxEnrollment=10, lectureStatus=OPEN_REGISTER),  >>::ller+0	 at skmsa.apiutil.interceptor.JournalAOP.logAction(JournalAOP.java:151)
03-10 15:34:05.293,skmsa.apiutil.interceptor.JournalAOP    ,979ae9ec-9e29-4b98-be7d-9e6e79579531, 2,INFO ,http-nio-8091-exec-3,|   |<--, Exec: 62ms73, Result: SampleA(id=4, version=0, title=강의01, minEnrollment=5, maxEnrollment=10, lectureStatus=OPEN_REGISTER)  >>::ller+0	 at skmsa.apiutil.interceptor.JournalAOP.logAction(JournalAOP.java:157)
03-10 15:34:05.417,skmsa.apiutil.interceptor.JournalAOP    ,979ae9ec-9e29-4b98-be7d-9e6e79579531, 1,INFO ,http-nio-8091-exec-3,|<--: sample.a.controller.SampleAController.registerLecture, Exec: 1207ms, Result: <200 OK OK,LecturesPostOutDTO(id=4, version=0, title=강의01, minEnrollment=5, maxEnrollment=10, registerEndDt=null, lectureStatus=OPEN_REGISTER),[]>  >>::	 at skmsa.apiutil.interceptor.JournalAOP.controllerAspect(JournalAOP.java:73)
03-10 15:39:49.619,skmsa.apiutil.interceptor.JournalAOP    ,112f3202-74a4-4b3c-9bfa-3db02ff00858, 1,INFO ,http-nio-8091-exec-4,|-->: sample.a.controller.SampleAController.registerLecture, args: LecturesPostInDTO(title=강의01, minEnrollment=5, maxEnrollment=10, lectureStatus=OPEN_REGISTER),org.springframework.validation.BeanPropertyBindingResult: 0 errors,  >>::	 at skmsa.apiutil.interceptor.JournalAOP.controllerAspect(JournalAOP.java:64)
03-10 15:39:50.629,skmsa.apiutil.interceptor.JournalAOP    ,112f3202-74a4-4b3c-9bfa-3db02ff00858, 2,INFO ,http-nio-8091-exec-4,|   |--> sample.a.service.impl.SampleAServiceImpl.registerLecture, args: SampleA(id=null, version=null, title=강의01, minEnrollment=5, maxEnrollment=10, lectureStatus=OPEN_REGISTER),  >>::ller+0	 at skmsa.apiutil.interceptor.JournalAOP.logAction(JournalAOP.java:151)
03-10 15:39:50.631,skmsa.apiutil.interceptor.JournalAOP    ,112f3202-74a4-4b3c-9bfa-3db02ff00858, 2,INFO ,http-nio-8091-exec-4,|   |<--, Exec: 2ms2, Result: SampleA(id=5, version=0, title=강의01, minEnrollment=5, maxEnrollment=10, lectureStatus=OPEN_REGISTER)  >>::ller+0	 at skmsa.apiutil.interceptor.JournalAOP.logAction(JournalAOP.java:157)
03-10 15:41:09.493,skmsa.apiutil.interceptor.JournalAOP    ,112f3202-74a4-4b3c-9bfa-3db02ff00858, 1,INFO ,http-nio-8091-exec-4,|<--: sample.a.controller.SampleAController.registerLecture, Exec: 79873ms, Result: <200 OK OK,LecturesPostOutDTO(id=5, version=0, title=강의01, minEnrollment=5, maxEnrollment=10, registerEndDt=null, lectureStatus=OPEN_REGISTER),[]>  >>::	 at skmsa.apiutil.interceptor.JournalAOP.controllerAspect(JournalAOP.java:73)
03-10 18:22:06.354,skmsa.apiutil.interceptor.JournalAOP    ,571dbb9a-38af-419f-a786-6e8ad6956e93, 1,INFO ,http-nio-8091-exec-10,|-->: sample.a.controller.SampleAController.registerLecture, args: LecturesPostInDTO(title=강의01, minEnrollment=5, maxEnrollment=10, lectureStatus=OPEN_REGISTER),org.springframework.validation.BeanPropertyBindingResult: 0 errors,  >>::	 at skmsa.apiutil.interceptor.JournalAOP.controllerAspect(JournalAOP.java:64)
03-10 18:22:07.379,skmsa.apiutil.interceptor.JournalAOP    ,571dbb9a-38af-419f-a786-6e8ad6956e93, 2,INFO ,http-nio-8091-exec-10,|   |--> sample.a.service.impl.SampleAServiceImpl.registerLecture, args: SampleA(id=null, version=null, title=강의01, minEnrollment=5, maxEnrollment=10, lectureStatus=OPEN_REGISTER),  >>::ller+0	 at skmsa.apiutil.interceptor.JournalAOP.logAction(JournalAOP.java:151)
03-10 18:22:07.404,skmsa.apiutil.interceptor.JournalAOP    ,571dbb9a-38af-419f-a786-6e8ad6956e93, 2,INFO ,http-nio-8091-exec-10,|   |<--, Exec: 25ms25, Result: SampleA(id=6, version=0, title=강의01, minEnrollment=5, maxEnrollment=10, lectureStatus=OPEN_REGISTER)  >>::ller+0	 at skmsa.apiutil.interceptor.JournalAOP.logAction(JournalAOP.java:157)
03-10 18:22:49.205,skmsa.apiutil.interceptor.JournalAOP    ,571dbb9a-38af-419f-a786-6e8ad6956e93, 1,INFO ,http-nio-8091-exec-10,|<--: sample.a.controller.SampleAController.registerLecture, Exec: 42849ms, Result: <200 OK OK,LecturesPostOutDTO(id=6, version=0, title=강의01, minEnrollment=5, maxEnrollment=10, registerEndDt=null, lectureStatus=OPEN_REGISTER),[]>  >>::	 at skmsa.apiutil.interceptor.JournalAOP.controllerAspect(JournalAOP.java:73)
03-10 18:22:53.798,skmsa.apiutil.interceptor.JournalAOP    ,                                    ,  ,INFO ,  restartedMain,[SKMSA JournalAOP  생성자] >>::Caller+0	 at skmsa.apiutil.interceptor.JournalAOP.<init>(JournalAOP.java:31)
  03-10 18:23:15.881,skmsa.apiutil.interceptor.JournalAOP    ,                                    ,  ,INFO ,  restartedMain,[SKMSA JournalAOP  생성자] >>::Caller+0	 at skmsa.apiutil.interceptor.JournalAOP.<init>(JournalAOP.java:31)
  03-10 18:28:05.866,skmsa.apiutil.interceptor.JournalAOP    ,                                    ,  ,INFO ,  restartedMain,[SKMSA JournalAOP  생성자] >>::Caller+0	 at skmsa.apiutil.interceptor.JournalAOP.<init>(JournalAOP.java:31)
  03-10 18:33:02.871,skmsa.apiutil.interceptor.JournalAOP    ,                                    ,  ,INFO ,  restartedMain,[SKMSA JournalAOP  생성자] >>::Caller+0	 at skmsa.apiutil.interceptor.JournalAOP.<init>(JournalAOP.java:31)
  03-10 18:40:12.713,skmsa.apiutil.interceptor.JournalAOP    ,                                    ,  ,INFO ,  restartedMain,[SKMSA JournalAOP  생성자] >>::Caller+0	 at skmsa.apiutil.interceptor.JournalAOP.<init>(JournalAOP.java:31)
  03-10 18:55:04.552,skmsa.apiutil.interceptor.JournalAOP    ,                                    ,  ,INFO ,  restartedMain,[SKMSA JournalAOP  생성자] >>::Caller+0	 at skmsa.apiutil.interceptor.JournalAOP.<init>(JournalAOP.java:31)
  03-10 19:03:54.981,skmsa.apiutil.interceptor.JournalAOP    ,                                    ,  ,INFO ,  restartedMain,[SKMSA JournalAOP  생성자] >>::Caller+0	 at skmsa.apiutil.interceptor.JournalAOP.<init>(JournalAOP.java:31)
  03-10 19:04:28.244,skmsa.apiutil.interceptor.JournalAOP    ,c75a2ac3-83c0-4e95-8135-0f36bdf06b56, 1,INFO ,http-nio-8091-exec-1,|-->: sample.a.controller.SampleAController.registerLecture, args: LecturesPostInDTO(title=강의01, minEnrollment=5, maxEnrollment=10, lectureStatus=OPEN_REGISTER),org.springframework.validation.BeanPropertyBindingResult: 0 errors,  >>::	 at skmsa.apiutil.interceptor.JournalAOP.controllerAspect(JournalAOP.java:64)
03-10 19:04:29.283,skmsa.apiutil.interceptor.JournalAOP    ,c75a2ac3-83c0-4e95-8135-0f36bdf06b56, 2,INFO ,http-nio-8091-exec-1,|   |--> sample.a.service.impl.SampleAServiceImpl.registerLecture, args: SampleA(id=null, version=null, title=강의01, minEnrollment=5, maxEnrollment=10, lectureStatus=OPEN_REGISTER),  >>::ller+0	 at skmsa.apiutil.interceptor.JournalAOP.logAction(JournalAOP.java:151)
03-10 19:04:29.333,skmsa.apiutil.interceptor.JournalAOP    ,c75a2ac3-83c0-4e95-8135-0f36bdf06b56, 2,INFO ,http-nio-8091-exec-1,|   |<--, Exec: 49ms65, Result: SampleA(id=7, version=0, title=강의01, minEnrollment=5, maxEnrollment=10, lectureStatus=OPEN_REGISTER)  >>::ller+0	 at skmsa.apiutil.interceptor.JournalAOP.logAction(JournalAOP.java:157)
